Оборотно-сальдовая ведомость по счету 41 за 2025 г.;;;;;;;
;;;;;;;
Счет;"Показа-
тели";Сальдо на начало периода;;Обороты за период;;Сальдо на конец периода;
Номенклатура;;Дебет;Кредит;Дебет;Кредит;Дебет;Кредит
Период;;;;;;;
;Кол.;4 687,000;;3 465,000;4 144,000;4 008,000;
Обороты за Июнь 25;БУ;523 076,27;;567 879,60;467 885,61;623 070,26;
;Кол.;4 008,000;;4 414,000;3 612,000;4 810,000;
Обороты за Июль 25;БУ;623 070,26;;214 876,49;464 269,53;373 677,22;
;Кол.;4 810,000;;1 711,000;3 613,000;2 908,000;
Обороты за Август 25;БУ;373 677,22;;;373 420,22;257,00;
;Кол.;2 908,000;;;2 906,000;2,000;
Пирог тирольский с вишней;БУ;738 140,36;;3 358 889,47;3 664 227,07;432 802,76;
;Кол.;4 878,000;;21 271,000;23 382,000;2 767,000;
Обороты за Январь 25;БУ;738 140,36;;962 777,22;722 044,62;978 872,96;
;Кол.;4 878,000;;5 937,000;4 591,000;6 224,000;
Обороты за Февраль 25;БУ;978 872,96;;265 901,70;563 228,63;681 546,03;
;Кол.;6 224,000;;1 677,000;3 575,000;4 326,000;
Обороты за Март 25;БУ;681 546,03;;418 999,16;322 068,53;778 476,66;
;Кол.;4 326,000;;2 662,000;2 045,000;4 943,000;
Обороты за Апрель 25;БУ;778 476,66;;305 210,02;229 807,24;853 879,44;
;Кол.;4 943,000;;2 055,000;1 484,000;5 514,000;
Обороты за Май 25;БУ;853 879,44;;639 107,71;457 339,50;1 035 647,65;
;Кол.;5 514,000;;4 051,000;2 930,000;6 635,000;
Обороты за Июнь 25;БУ;1 035 647,65;;658 978,12;488 178,61;1 206 447,16;
;Кол.;6 635,000;;4 199,000;3 121,000;7 713,000;
Обороты за Июль 25;БУ;1 206 447,16;;107 915,54;474 565,80;839 796,90;
;Кол.;7 713,000;;690,000;3 034,000;5 369,000;
Обороты за Август 25;БУ;839 796,90;;;406 994,14;432 802,76;
;Кол.;5 369,000;;;2 602,000;2 767,000;
Пирог тирольский с черникой;БУ;449 798,17;;3 568 851,84;3 960 496,51;58 153,50;
;Кол.;2 937,000;;22 541,000;25 106,000;372,000;
Обороты за Январь 25;БУ;449 798,17;;592 282,09;402 711,26;639 369,00;
;Кол.;2 937,000;;3 690,000;2 561,000;4 066,000;
Обороты за Февраль 25;БУ;639 369,00;;495 167,23;646 778,45;487 757,78;
;Кол.;4 066,000;;3 147,000;4 112,000;3 101,000;
Обороты за Март 25;БУ;487 757,78;;269 635,43;215 712,24;541 680,97;
;Кол.;3 101,000;;1 632,000;1 348,000;3 385,000;
Обороты за Апрель 25;БУ;541 680,97;;403 448,69;353 905,98;591 223,68;
;Кол.;3 385,000;;2 549,000;2 222,000;3 712,000;
Обороты за Май 25;БУ;591 223,68;;810 534,95;697 307,05;704 451,58;
;Кол.;3 712,000;;5 117,000;4 392,000;4 437,000;
Обороты за Июнь 25;БУ;704 451,58;;619 884,67;531 192,43;793 143,82;
;Кол.;4 437,000;;3 920,000;3 352,000;5 005,000;
Обороты за Июль 25;БУ;793 143,82;;377 898,78;641 251,73;529 790,87;
;Кол.;5 005,000;;2 486,000;4 102,000;3 389,000;
Обороты за Август 25;БУ;529 790,87;;;471 637,37;58 153,50;
;Кол.;3 389,000;;;3 017,000;372,000;
Подарочный пакет;БУ;;;50 000,00;800,00;49 200,00;
;Кол.;;;500,000;8,000;492,000;
Обороты за Январь 25;БУ;;;50 000,00;;50 000,00;
;Кол.;;;500,000;;500,000;
Обороты за Февраль 25;БУ;50 000,00;;;800,00;49 200,00;
;Кол.;500,000;;;8,000;492,000;
Фруктовые;БУ;;;80 000,00;80 000,00;;
;Кол.;;;280,000;280,000;;
Обороты за Январь 25;БУ;;;80 000,00;61 428,57;18 571,43;
;Кол.;;;280,000;215,000;65,000;
Обороты за Февраль 25;БУ;18 571,43;;;18 571,43;;
;Кол.;65,000;;;65,000;;
Шоколад 95%;БУ;;;20 000,00;20 000,00;;
;Кол.;;;200,000;200,000;;
Обороты за Февраль 25;БУ;;;20 000,00;20 000,00;;
;Кол.;;;200,000;200,000;;
Итого;БУ;3 629 519,96;;25 639 935,43;28 371 714,01;897 741,38;
;Кол.;30 033,000;;197 491,000;219 016,000;8 508,000;
